Lokal      	Galactic     	Teta            	R +- err
         	"NGC4343	"	1.2759052819529337	21.442+-0.108
         	"NGC3675	"	1.1130345037722866	21.442+-0.108
         	"ESO001-009	"	1.0087556487286897	21.442+-0.108
         	"PGC053093	"	1.0348081391085342	21.442+-0.108
         	"IC1993	"	1.2094881881231068	21.442+-0.108
         	"NGC1519	"	1.0068509435452966	21.442+-0.108
         	"PGC057723	"	1.0011972052741287	21.442+-0.108
         	"NGC1530	"	1.1706094954671133	21.442+-0.108
         	"NGC5746	"	1.029140873505979	21.442+-0.108
         	"UGC06320	"	1.1866703202349385	21.442+-0.108
         	"NGC2397	"	1.5149942599647053	21.442+-0.108
         	"NGC1068	"	1.1323580425046773	21.442+-0.108
         	"NGC5205	"	1.3837167061578441	21.442+-0.108
         	"UGC03685	"	1.0194837823169767	21.442+-0.108
         	"NGC1485	"	1.059529864829655	21.442+-0.108
         	"NGC0891	"	1.0009742679032094	21.442+-0.108
         	"PGC018373	"	1.2656136821121184	21.442+-0.108
         	"IC5271	"	1.0160299183255834	21.442+-0.108
         	"NGC3440	"	1.250635664474869	21.442+-0.108
         	"IC0127	"	1.3817631144877014	21.442+-0.108
         	"NGC4394	"	1.4994884862149849	21.442+-0.108
         	"NGC1055	"	1.0206948734239945	21.442+-0.108
         	"NGC3351	"	1.3342169905667178	21.442+-0.108
         	"ESO492-002	"	1.0059203935191439	21.442+-0.108
         	"PGC054411	"	1.0014114858017547	21.442+-0.108
         	"NGC3485	"	1.0791371579057578	21.442+-0.108
         	"NGC4067	"	1.0008528064295126	21.442+-0.108
         	"UGC07086	"	1.0066913477136112	21.442+-0.108
         	"NGC2854	"	1.0315399171535562	21.442+-0.108
         	"ESO021-005	"	1.4621964185687457	21.442+-0.108
         	"ESO498-003	"	1.0023257633228446	21.442+-0.108
         	"NGC5729	"	1.6502062089371012	21.442+-0.108
         	"NGC1532	"	1.0002244710547472	21.442+-0.108
         	"IC0902	"	1.1238639698213313	21.442+-0.108
         	"NGC3912	"	1.03854169928254	21.442+-0.108
         	"NGC3627	"	1.5171498470901095	21.442+-0.108
         	"NGC5850	"	1.0087583530935618	21.442+-0.108
         	"NGC5470	"	1.7371076991619216	21.442+-0.108
         	"NGC4133	"	1.1386835538516424	21.442+-0.108
         	"NGC3507	"	1.0046112827681362	21.442+-0.108
         	"PGC027130	"	1.0583461359207802	21.442+-0.108
         	"NGC4749	"	1.500038106922408	21.442+-0.108
         	"NGC4995	"	1.006175090184583	21.442+-0.108
         	"NGC2788B	"	1.0503070369783651	21.442+-0.108
         	"NGC4102	"	1.0001324201654473	21.442+-0.108
         	"NGC2082	"	1.0212353133443457	21.442+-0.108
         	"ESO090-015	"	1.0591810799984946	21.442+-0.108
         	"NGC3692	"	1.000000718431117	21.442+-0.108
         	"NGC7723	"	1.0932765876277275	21.442+-0.108
         	"NGC0210	"	1.0683341054115214	21.442+-0.108
         	"NGC1241	"	1.438506796867447	21.442+-0.108
         	"UGC04054	"	1.0722512145521805	21.442+-0.108
         	"NGC4548	"	1.0208309753425615	21.442+-0.108
         	"NGC2708	"	1.056832807132526	21.442+-0.108
         	"NGC1703	"	1.8389226711551654	21.442+-0.108
         	"NGC3628	"	1.1763826331719893	21.442+-0.108
         	"ESO037-005	"	1.0522734579701492	21.442+-0.108
         	"NGC3455	"	1.0052579795388457	21.442+-0.108
         	"NGC6300	"	1.3416584168207624	21.442+-0.108
         	"IC2367	"	1.5572494767353804	21.442+-0.108
         	"ESO428-029	"	1.0451325075034246	21.442+-0.108
         	"NGC3018	"	1.0435411831434471	21.442+-0.108
         	"IC5333	"	1.1564865647072007	21.442+-0.108
         	"NGC5937	"	1.3962156427354213	21.442+-0.108
         	"NGC3717	"	1.0237171266725105	21.442+-0.108
         	"NGC2935	"	1.049081387231962	21.442+-0.108
         	"NGC1484	"	1.0771734479492514	21.442+-0.108
         	"NGC4565	"	1.3130023465131957	21.442+-0.108
         	"UGC09389	"	1.039478308079754	21.442+-0.108
         	"NGC2613	"	1.0226604624656221	21.442+-0.108
         	"IC4402	"	1.1757343869950527	21.442+-0.108
         	"NGC4307	"	1.3475663884314242	21.442+-0.108
         	"NGC2955	"	1.0627378125572158	21.442+-0.108
         	"UGC04550	"	1.053623077680206	21.442+-0.108
         	"NGC7496	"	1.1553462333310314	21.442+-0.108
         	"NGC7412	"	1.0032750450411754	21.442+-0.108
         	"IC1954	"	1.0046488607138877	21.442+-0.108
         	"NGC1365	"	1.0049732892551015	21.442+-0.108
         	"NGC3547	"	1.0138452963551827	21.442+-0.108
         	"ESO126-010	"	1.003802893371161	21.442+-0.108
         	"ESO490-044	"	1.2212096309367453	21.442+-0.108
         	"NGC3673	"	1.0085984960599128	21.442+-0.108
         	"NGC4412	"	1.1671092686355196	21.442+-0.108
         	"NGC3982	"	1.0209721604585391	21.442+-0.108
         	"PGC015873	"	1.2042311196615807	21.442+-0.108
         	"IC2461	"	1.1429467131526094	21.442+-0.108
         	"IC1022	"	1.3423941341200627	21.442+-0.108
         	"NGC7513	"	1.039732560755425	21.442+-0.108
         	"NGC5806	"	1.0333145726381359	21.442+-0.108
         	"NGC5878	"	1.0090399244400887	21.442+-0.108
         	"NGC1097	"	1.0508558763528422	21.442+-0.108
         	"NGC1425	"	1.0042476396462143	21.442+-0.108
         	"ESO309-005	"	1.0057515455112134	21.442+-0.108
         	"ESO202-035	"	1.0281463599452436	21.442+-0.108
         	"NGC4157	"	1.6972378041914231	21.442+-0.108
         	"ESO097-013	"	1.0588727122807753	21.442+-0.108
         	"IC4351	"	1.0024004564516822	21.442+-0.108
         	"NGC5362	"	1.4820833372723405	21.442+-0.108
         	"NGC4947	"	1.12728732462358	21.442+-0.108
         	"ESO494-026	"	1.0416318875049007	21.442+-0.108
         	"NGC4402	"	1.377028010121067	21.442+-0.108
         	"NGC1353	"	1.0000605132664384	21.442+-0.108
         	"PGC025886	"	1.0181260091358293	21.442+-0.108
         	"NGC6239	"	1.021247555361263	21.442+-0.108
         	"ESO469-015	"	1.2688937749249602	21.442+-0.108
         	"NGC3813	"	1.0021200358238207	21.442+-0.108
         	"NGC2608	"	1.2170583828929822	21.442+-0.108
         	"NGC1964	"	1.3266219687427654	21.442+-0.108
         	"ESO512-012	"	1.1499615559269083	21.442+-0.108
         	"NGC5678	"	1.003024589009315	21.442+-0.108
         	"NGC1672	"	1.015893025600489	21.442+-0.108
         	"NGC0755	"	1.587273197170721	21.442+-0.108
         	"ESO092-006	"	1.1048041506523563	21.442+-0.108
         	"IC1913	"	1.0017471333346102	21.442+-0.108
         	"NGC4430	"	1.453718178390351	21.442+-0.108
         	"IC0356	"	1.0036494994792662	21.442+-0.108
