   GCN        Name       Time    TimeHHMMSS  Duration   Fluence  Err_Fluence(-)  Err_Fluence(+)      PFti  PFscale       PF  Err_PF(-)  Err_PF(+)    Ep  Err_Ep(-)  Err_Ep(+)       Mode  Z(Redshift) 
 23557  GRB181222B  72694.563  20:11:34.563      2.1s   3.70E-5        -0.17E-5        +0.18E-5    +0.166    0.016  2.72E-4   -0.25E-4   +0.26E-4   365        -26        +27  triggered           -- 
 23540  GRB181212A  59862.922  16:37:42.922       66s    2.4E-5         -0.5E-5         +0.5E-5    +1.536    0.064   2.4E-5    -0.5E-5    +0.5E-5   216        -45        +84  triggered           -- 
 23495  GRB181201A   9592.355  02:39:52.355      172s   1.99E-4        -0.06E-4        +0.06E-4    +4.848    0.064  2.88E-5   -0.33E-5   +0.34E-5   152         -6         +6  triggered        0.450 
 23456  GRB181121A  74619.153  20:43:39.153      1.4s   1.46E-5        -0.26E-5        +0.44E-5    +0.118    0.016  9.44E-5   -1.53E-5   +1.77E-5   226        -65        +45  triggered           -- 
 23393  GRB181028A  50984.309  14:09:44.309       38s   3.43E-5        -0.18E-5        +0.20E-5   +26.064    0.064  4.06E-6   -1.01E-6   +1.03E-6   286        -22        +26  triggered           -- 
 23363  GRB181020A  68437.284  19:00:37.284       26s   4.17E-5        -0.54E-5        +0.58E-5    +7.552    0.064  8.27E-6   -1.99E-6   +2.05E-6   371        -52        +57  triggered        2.938 
 23291  GRB180925A  52650.967  14:37:30.967       26s   1.44E-5        -0.23E-5        +0.32E-5    +5.088    0.064  4.99E-6   -1.51E-6   +1.66E-6   528       -135       +239  triggered           -- 
 23254  GRB180914A  45119.268  12:31:59.268      154s   9.08E-5        -0.51E-5        +0.57E-5   +13.408    0.064  6.05E-6   -1.28E-6   +1.29E-6   301        -25        +30  triggered           -- 
 23193  GRB180828A  68250.016  18:57:30.016     14.7s   4.41E-5        -0.17E-5        +0.17E-5    +7.456    0.064  1.57E-5   -0.24E-5   +0.26E-5   341        -21        +24  triggered           -- 
 23180  GRB180824A  36319.887  10:05:19.887        2s   1.02E-6        -0.34E-6        +0.41E-6    +0.012    0.064  7.15E-6   -3.46E-6   +4.02E-6   375       -128       +267  triggered           -- 
 23128  GRB180809B  73730.033  20:28:50.033       80s   3.07E-4        -0.30E-4        +0.36E-4   +37.952    0.064  2.66E-5   -0.41E-5   +0.42E-5   275        -30        +25  triggered           -- 
 23119  GRB180806A   81544.19  22:39:04.190       20s   2.92E-5        -0.36E-5        +0.41E-5    +5.712    0.064  5.52E-6   -1.59E-6   +1.66E-6   352        -53        +59  triggered           -- 
 23061  GRB180728A  62954.093  17:29:14.093       17s   5.14E-5        -0.29E-5        +0.29E-5   +15.168    0.064  1.94E-5   -0.15E-5   +0.15E-5    97         -6         +7  triggered        0.117 
 23060  GRB180728B   76197.29  21:09:57.290      0.4s   1.35E-6        -0.22E-6        +0.25E-6    -0.004    0.016  9.59E-6   -3.38E-6   +3.55E-6   404        -74       +118  triggered           -- 
