|Galaxy_name                    |R.A.       |Decl.        |Ang_R
NGC4402                     	186.5319	13.1133       2.567
NGC1353                     	053.0125	-20.8189	  2.507
PGC025886                   	137.7049	-8.8919	      3.084
NGC6239                     	252.5206	42.7398	      1.695
ESO469-015                  	347.2315	-30.8578	  1.41
NGC3813                     	175.3276	36.5467	      1.443
NGC2608                     	128.8221	28.4734	      1.619
NGC1964                     	083.3406	-21.9457	  4.067
ESO512-012                  	220.0473	-25.7766	  2.039
NGC5678                     	218.0233	57.9214	      2.394
NGC1672                     	071.4271	-59.2473	  4.889
NGC0755                     	029.0941	-9.0617	      2.34
ESO092-006                  	150.8277	-64.9675	  1.377
IC1913                      	049.8942	-32.465	      1.442
NGC4430                     	186.8601	6.2626	      1.735
IC0356                      	061.9453	69.8124	      3.304
NGC4607                     	190.3012	11.8867	      2.134
IC2996                      	181.4526	-29.9721	  1.094
IC0755                      	180.2937	14.104	      1.735
ESO544-027                  	033.2278	-19.3169	  1.021
IC2560                      	154.0777	-33.5639	  2.395
NGC4501                     	187.9966	14.4204	      4.889
NGC3149                     	150.934	    -80.4216	  1.347
NGC3769                     	174.4338	47.8931	      1.992
NGC0949                     	037.7029	37.1366       2.085
IC0540                      	142.5429	7.9027	      0.757
PGC063566                   	295.8583	-1.1756	      0.588
NGC3795                     	175.0285	58.6132	      1.546
NGC3347                     	160.6939	-36.3526	  2.394
NGC0150                     	008.5645	-27.8037	  2.813
NGC4639                     	190.7182	13.2576	      2.183
NGC5879                     	227.4447	57.0001       2.878
NGC6764                     	287.0686	50.9332	      1.582
NGC7188                     	330.871	    -20.3181      1.094
NGC6384                     	263.1007	7.0603	      4.258
NGC2442                     	114.0991	-69.5307	  3.883
NGC3259                     	158.1451	65.0411	      1.582
NGC7421                     	344.2263	-37.3474	  1.316
NGC1090                     	041.6413	-0.247	      2.625
NGC4595                     	189.9661	15.2978	      1.199
UGC11933                    	332.5585	41.5734	      0.709
NGC5577                     	215.3046	3.4358	      2.34
NGC3715                     	172.8846	-14.2312	  0.953
PGC1475910                  	084.6583	15.1248	      0.489
UGC04393                    	126.5182	45.9676	      1.618
UGC03343                    	086.3526	72.3562       1.657
PGC078144                   	115.8459	-29.2164	  1.735
NGC5348                     	208.5469	5.2274	      2.565
IC2007                      	058.8448	-28.1583	  0.976
NGC5356                     	208.7434	5.3338	      2.086
IC5039                      	310.8096	-29.8534	  1.735
NGC1886                     	080.4504	-23.8102      2.34
ESO505-008                  	180.8958	-25.3803	  1.022
ESO572-008                  	178.272	     -18.3777     0.602
NGC3887                     	176.7691	-16.8547	  2.565
NGC7331                     	339.2673	34.4156       7.748
NGC2978                     	145.8199	-9.7457	      0.757
NGC1414                     	055.2381	-21.7139	  1.145
IC0610                      	156.6184	20.2283       1.347
NGC0115                     	006.6933	-33.677       1.377
NGC1309                     	050.5275	-15.4         1.657
UGC03433                    	093.7741	0.1922	      1.476
NGC4930                     	196.0216	-41.4113	  3.306
ESO021-003                  	203.1159	-80.4317	  1.347
UGC00903                    	020.4492	17.5924	      1.316
NGC5756                     	221.8905	-14.8536	  1.583
PGC022319                   	119.4966	-14.2841	  0.91
IC5267A                     	343.9845	-43.4337	  1.619
NGC0289                     	013.1764	-31.2058	  4.066
IC2969                      	178.1304	-3.8722	      0.889
IC3015                      	182.2512	-31.5199	  2.184
NGC5194                     	202.4695	47.1951	      11.2
PGC010217                   	040.4772	59.6033	      3.8
NGC1832                     	078.0136	-15.6878	  1.695
ESO490-035                  	100.9353	-27.2665	  0.66
NGC7205                     	332.1429	-57.4426	  2.749
NGC3949                     	178.4238	47.8588	      2.086
NGC7314                     	338.9412	-26.0506	  3.23
NGC5364                     	209.0496	5.0151	      4.668
NGC7531                     	348.7018	-43.6	      3.231
ESO560-004                  	114.7519	-22.0463	  0.976
NGC3213                     	155.3221	19.6517	      0.724
NGC3521                     	166.4524	-0.0358	      7.748
NGC1255                     	048.3832	-25.7252	  2.946
NGC6217                     	248.1634	78.1982	      2.395
NGC0157                     	008.6941	-8.3963	      3.085
NGC3310                     	159.6898	53.5017	      1.992
ESO428-015                  	109.2841	-29.3824	  1.349
ESO489-029                  	094.2700	-27.3886	  2.287
NGC1924                     	082.0083	-5.3106	      1.12
ESO429-001                  	113.0019	-31.7979	  0.708
NGC2964                     	145.7268	31.847	      2.183
UGC03050                    	066.8749	30.9476	      0.47
UGC05765                    	159.3706	68.8195	      1.257
NGC0134                     	007.5910	-33.244	      6.015
NGC5248                     	204.3841	8.8851	      4.356
ESO039-006                  	182.3134	-75.476	      0.889
NGC2336                     	111.7669	80.1781	      4.563
UGC05958                    	162.816	    27.8487       1.622
IC1532                      	002.4696	-64.3716	  1.12
NGC1515                     	061.0113	-54.1	      3.71
NGC3403                     	163.4785	73.6904	      2.184
NGC3059                     	147.5343	-73.9223	  2.812
ESO428-017                  	109.3069	-28.9172	  0.932
ESO124-015                  	125.9175	-60.8767	  1.256
NGC6744                     	287.4412	-63.8577	  15.11
NGC5949                     	232.0027	64.7631	      1.581
NGC3972                     	178.9378	55.3207	      2.687
NGC6000                     	237.4561	-29.3866	  1.346
NGC3684                     	171.7966	17.0302	      2.507
ESO126-015                  	142.1839	-60.8554	  1.66
NGC3254                     	157.3342	29.4922	      3.461
NGC4051                     	180.7903	44.5312	      3.709
NGC1325                     	051.1066	-21.5439	  3.382
IC0210                      	032.3677	-9.68	      1.656
NGC1300                     	049.9213	-19.4111	  4.459
NGC7241                     	333.958	    19.2322       2.45
NGC4041                     	180.5508	62.1373	      1.946
UGC03587                    	103.4785	19.2996	      1.992
NGC7817                     	000.9952	20.7522	      2.508
NGC4303                     	185.4786	4.4736	      4.458
NGC4219                     	184.1136	-43.3244	  3.084
IC0065                      	015.2308	47.682	      2.814
NGC4258                     	184.7398	47.3038	      18.6
NGC0613                     	023.5758	-29.4184	  3.794
NGC4206                     	183.8202	13.0239       3.795
NGC1792                     	076.3102	-37.9807	  4.066
IC2554A                     	152.2117	-67.0296	  2.241
NGC2268                     	108.5727	84.3823	      2.45
NGC2748                     	138.4293	76.4753	      2.185
UGC09746                    	227.5701	1.9337	      0.998
UGC12471                    	349.1178	18.5625	      0.955
NGC2634A                    	132.1591	73.9393	      1.229
ESO428-018                  	109.3023	-29.5809	  0.955
NGC5921                     	230.485	    5.0706        3.462
PGC024031                   	128.5168	52.0021	      0.478
NGC3992                     	179.3997	53.3745	      5.613
NGC3344                     	160.8798	24.9223       7
NGC4835                     	194.5326	-46.2621	  3.231
NGC3066                     	150.5454	72.1252	      0.793
NGC3642                     	170.5749	59.0743	      3.974
NGC2706                     	134.0512	-2.5634	      1.316
NGC6951                     	309.3087	66.1057	      2.625
NGC0485                     	020.3650	7.0184	      1.146
NGC6814                     	295.6692	-10.3237	  2.451
NGC4237                     	184.2975	15.324	      1.511
NGC1566                     	065.0016	-54.9378	  6.299
NGC0723                     	028.4404	-23.7578	  0.91
NGC5005                     	197.7345	37.0592	      4.259
UGC10907                    	262.4965	77.3962	      0.831
PGC013716                   	056.0043	-14.3587	  1.476
PGC043383                   	192.4255	-40.6853	  0.759
NGC4981                     	197.203	    -6.7775       1.947
NGC2836                     	138.4344	-69.334	      1.992
IC3229                      	185.7199	6.68	      1.23
NGC3953                     	178.4542	52.3265       5.743
IC2051                      	058.0017	-83.8313	  1.902
NGC4567                     	189.1362	11.2579       1.992
NGC5713                     	220.048	    -0.2891       2.038
NGC6925                     	308.5857	-31.9809	  3.157
NGC3681                     	171.6276	16.8656       2.038
IC4444                      	217.911	    -43.4183	  1.2
NGC7083                     	323.9358	-63.9027	  2.507
NGC3756                     	174.201	    54.2933	      3.084
NGC2903                     	143.0421	21.5014	      12.6
NGC7339                     	339.4456	23.7865	      1.947
ESO377-034                  	169.2687	-34.9552	  1.619
NGC5055                     	198.9555	42.0292	      9.534
NGC4205                     	183.7317	63.7828	      1.256
NGC4030                     	180.0982	-1.1	      2.945
NGC4527                     	188.5333	2.6531	      4.357
NGC4658                     	191.1574	-10.0831	  1.443
NGC3882                     	176.5266	-56.3909	  1.734
NGC4575                     	189.4632	-40.5373	  1.443
NGC3686                     	171.933	    17.2241       2.235
IC1952                      	053.3613	-23.7128	  1.816
