|Galaxy_name                    |R.A.       |Decl.        |Ang_R
PGC026378                   	139.9522	-12.2463	  1.229
UGC04260                    	122.7867	46.4654	      1.173
UGC03144                    	071.9821	74.9287	      1.41
UGC05989                    	163.1326	19.7922	      1.095
PGC006626                   	027.1074	-12.3813	  2.085
UGC03371                    	089.1522	75.3163       3.326
UGC03317                    	083.4066	73.7239	      1.085
ESO376-022                  	162.8374	-34.4306	  1.512
UGC08614                    	204.3592	7.6451	      2.507
NGC4353                     	186.001	    7.7853        0.644
PGC037202                   	178.1305	-3.6758	      0.999
UGC02017                    	038.1883	28.8409	      1.95
ESO263-021                  	153.6741	-44.8545	  0.998
PGC012868                   	051.7426	72.8562	      1.511
UGC11944                    	333.0028	17.9027	      1.736
UGC09385                    	218.8447	5.2764	      1.23
UGC03234                    	075.8523	16.4044	      1.316
NGC0014                     	002.1928	15.8163	      2.038
NGC2785                     	138.8139	40.9174	      1.094
PGC025903                   	137.8338	-15.0484	  1.477
UGC07053                    	181.0845	-1.5304	      1.157
ESO172-009                  	191.8869	-53.9464	  1.172
PGC015625                   	069.1027	-9.5138	      1.069
UGC07673                    	187.9929	29.7095	      1.012
UGC00731                    	017.6833	49.6021	      1.862
UGC05455                    	152.2098	70.6336	      1.698
NGC1427A                    	055.0387	-35.6245	  1.477
ESO269-053                  	197.2105	-42.9426	  0.933
UGC08639                    	204.7489	51.4348	      1.07
UGC06027                    	163.7796	63.9933	      1.047
UGC08839                    	208.8532	17.7949	      2.892
PGC052940                   	222.3777	-10.1747	  2.169
NGC4331                     	185.6487	76.1722	      1.583
UGC08742                    	207.4069	38.9207	      1.012
UGC05706                    	157.797	    34.5028       1.259
ESO481-016                  	049.0377	-24.1997	  0.931
UGC11921                    	332.3155	14.3599	      1.227
UGC10792                    	258.5113	75.2034       0.912
UGC06345                    	170.0647	2.5257	      1.696
NGC4027A                    	179.8731	-19.3317	  0.675
UGC12351                    	346.4395	18.9857	      0.977
UGC08892                    	209.4213	57.001	      0.269
UGC07307                    	184.2676	10.0054	      1.66
UGC07872                    	190.473	    75.3065	      1.157
UGC08441                    	201.3715	57.8215	      1.88
UGC07009                    	180.4336	62.3267	      1.173
UGC00871                    	020.1004	5.8275	      1.738
UGC01176                    	025.0405	15.9047	      4.6
UGC10991                    	266.6233	67.3382	      0.912
ESO481-019                  	049.6803	-23.7821	  1.447
UGC08303                    	198.3231	36.2176	      1.816
UGC10061                    	237.8127	16.3295	      1.518
PGC048937                   	206.9956	-53.3506	  3
UGC01133                    	023.7618	4.3812	      2.235
ESO508-066                  	201.0145	-24.6637	  1.286
UGC09979                    	235.581	    0.4739        1.013
UGC07207                    	183.0796	37.0137	      1.663
UGC11891                    	330.891	    43.749        3.311
UGC06670                    	175.6218	18.3342	      2.184
NGC3104                     	150.9879	40.7558	      2.393
UGC03658                    	106.1667	17.5826	      1.738
ESO538-024                  	002.5746	-18.265	      0.953
ESO564-010                  	135.687	    -20.7141	  0.811
UGC06171                    	166.7914	18.5694	      1.817
UGC05720                    	158.1328	54.401	      0.724
UGC11220                    	275.8566	40.945	      1.175
ESO274-016                  	232.231	    -42.7841      1.476
PGC009539                   	037.6062	-10.7492	  1.477
PGC053161                   	223.2289	-3.8267	      0.83
PGC012068                   	048.6595	-4.7739	      1.546
IC2009                      	058.3962	-48.9899	  0.954
UGC06296                    	169.2127	17.7986	      0.89
NGC1034                     	039.5583	-15.8091	  0.66
ESO268-046                  	192.5827	-44.426	      1.775
PGC043526                   	192.8053	-6.5593	      0.974
ESO429-006                  	114.6726	-31.1952	  0.426
PGC049092                   	207.5056	62.7298	      0.63
ESO163-019                  	117.3277	-54.4704	  2.951
NGC7694                     	353.3163	-2.703	      1.045
NGC6438A                    	275.6701	-85.4074	  1.901
PGC136308                   	097.5655	16.7784	      0.426
ESO433-007                  	137.8338	-30.873	      1.095
ESO269-009                  	193.8739	-45.2354	  1.094
UGC02800                    	055.0096	71.4058	      1.664
ESO565-003                  	140.7922	-20.1676	  0.6
ESO375-071                  	159.0397	-37.2395	  2.396
ESO236-034                  	325.6933	-51.2872	  1.095
PGC037625                   	179.4367	-10.1731	  1.146
PGC040329                   	186.052	    0.5672        1.229
ESO381-041                  	195.1329	-34.3739	  1.146
PGC2801052                  	315.8509	57.2872	      2.3
UGC02813                    	055.6422	71.3079	      1.519
ESO219-016                  	194.8471	-49.6218	  1.518
ESO440-039                  	180.492	    -30.2346	  1
UGC12313                    	345.4323	16.0677       1.445
ESO217-031                  	183.4594	-52.3152	  1.07
PGC052345                   	219.7264	-8.6267	      2.085
NGC1487                     	058.9420	-42.3672	  2.685
UGC03496                    	102.6532	85.7955	      0.479
ESO236-036                  	325.7203	-47.8569	  1.549
ESO035-009                  	112.177	    -75.0517      1.085
PGC028408                   	147.9319	1.4446	      0.849
NGC4920                     	195.5179	-11.3788	  0.74
ESO460-034                  	296.2221	-28.1898	  1.318
ESO359-016                  	061.1056	-36.1806	  1.094
NGC2573B                    	346.8892	-89.1165	  1.229
ESO491-010                  	103.8568	-26.76	      0.55
ESO489-022                  	093.8292	-26.5774	  1.2
ESO371-030                  	135.0774	-34.0802	  1.346
UGC12151                    	340.3912	0.4009	      2.097
